rating,title,text,date,username,thumbs_up
5,Good app,Love this app for investing. Easy to use and fast,2026-02-15,Rajesh_K,12
2,Login issues,Can't login anymore. Keep getting error message. Very frustrating,2026-02-14,Priya_M,45
4,Missing features,Good app but wish it had options trading. Please add this feature,2026-02-13,Amit_S,8
1,App crashes,App crashes every time I try to check my portfolio. Lost trust,2026-02-12,Neha_P,67
3,Slow loading,Takes forever to load. Need better performance,2026-02-11,Vikram_R,23
5,Best investment app,Best investment app I've used! Highly recommend,2026-02-10,Sneha_L,34
2,KYC stuck,KYC verification stuck for 3 days. Support not responding,2026-02-09,Arjun_B,89
4,Good but confusing,App is useful but UI is confusing. Hard to navigate,2026-02-08,Divya_T,15
1,Money disappeared,My money disappeared from account. No response from support,2026-02-07,Rohit_G,123
5,Excellent,Excellent app for beginners. Very user friendly,2026-02-06,Kavita_J,19
3,Navigation confusing,Login process is confusing AF. Took me 20 mins to get in,2026-02-05,Sanjay_N,41
2,Bug in portfolio,Portfolio section shows wrong values. Fix this bug please,2026-02-04,Meera_K,28
4,Great features,Great features but app crashes sometimes on iOS 18,2026-02-03,Aditya_V,17
1,Support ghosted,Support team ghosted me. No reply for a week,2026-02-02,Pooja_M,91
5,Love it,Love the interface and ease of use. Keep it up!,2026-02-01,Karan_S,22
3,Account locked,My account got locked without reason. Need help urgently,2026-01-31,Anjali_R,56
2,Feature missing,Need option to track SIP investments better,2026-01-30,Vishal_P,14
4,Good experience,Good experience overall but slow customer support,2026-01-29,Ritu_D,31
1,Cannot withdraw,Cannot withdraw money for 5 days. This is unacceptable,2026-01-28,Manish_L,78
5,Smooth transactions,Smooth transactions and good UI design,2026-01-27,Nisha_B,25
2,App freezes,App freezes when I try to buy stocks. Very annoying,2026-01-26,Suresh_K,43
3,Verification delay,Email verification taking too long. Speed it up,2026-01-25,Preeti_J,19
4,Nice app,Nice app but needs better search functionality,2026-01-24,Gaurav_M,12
1,Worst experience,Worst experience. Money stuck and no support,2026-01-23,Deepa_S,134
5,Highly recommended,Highly recommended for stock market beginners,2026-01-22,Rahul_T,27
2,Login broken,Login is completely broken after last update,2026-01-21,Swati_V,62
4,Pretty good,Pretty good but could use more features like alerts,2026-01-20,Abhishek_N,18
3,Support needed,Need better customer support response times,2026-01-19,Lakshmi_P,35
1,Scam alert,Feels like scam. Money not showing in account,2026-01-18,Manoj_R,156
5,Perfect,Perfect for investing in mutual funds and stocks,2026-01-17,Sonali_G,21
2,Crashes often,Crashes too often. Please fix stability issues,2026-01-16,Vivek_K,48
4,User friendly,User friendly interface but slow loading times,2026-01-15,Ishita_B,16
3,Mixed feelings,Mixed feelings. Good features but buggy performance,2026-01-14,Nikhil_D,29
1,Account blocked,Account blocked without explanation. Very unprofessional,2026-01-13,Tanya_M,98
5,Great service,Great service and easy to understand for newbies,2026-01-12,Akash_S,24
2,Password reset fail,Password reset not working. Stuck outside account,2026-01-11,Priyanka_L,51
4,Solid app,Solid app but needs better help documentation,2026-01-10,Harish_J,13
3,Notification issues,Push notifications not working properly,2026-01-09,Anita_R,32
1,Lost all trust,Lost all trust after money transfer failed twice,2026-01-08,Sandeep_V,87
5,Fantastic,Fantastic app for tracking portfolio performance,2026-01-07,Megha_N,20
2,Search broken,Search functionality is broken. Can't find stocks,2026-01-06,Ramesh_P,44
4,Good UI,Good UI design but performance could be better,2026-01-05,Shruti_K,15
3,Average experience,Average experience. Nothing special but works,2026-01-04,Varun_M,26
1,Fraud issues,Worried about fraud. Suspicious transactions shown,2026-01-03,Radha_S,109
5,Best ever,Best investment platform I've ever used,2026-01-02,Prakash_T,28
2,OTP not working,OTP not coming for login. Major issue,2026-01-01,Seema_B,59
4,Recommend it,Would recommend but fix the occasional crashes,2026-12-31,Ajay_G,17
3,Help needed,Need better help section. Can't find answers,2025-12-30,Nidhi_L,33
