rating,title,text,date
5,Good app,Love this app for investing. Easy to use and fast,2/15/26
2,Login issues,Can't login anymore. Keep getting error message. Very frustrating,2/14/26
4,Missing features,Good app but wish it had options trading. Please add this feature,2/13/26
1,App crashes,App crashes every time I try to check my portfolio. Lost trust,2/12/26
3,Slow loading,Takes forever to load. Need better performance,2/11/26
5,Best investment app,Best investment app I've used! Highly recommend,2/10/26
2,KYC stuck,KYC verification stuck for 3 days. Support not responding,2/9/26
4,Good but confusing,App is useful but UI is confusing. Hard to navigate,2/8/26
1,Money disappeared,My money disappeared from account. No response from support,2/7/26
5,Excellent,Excellent app for beginners. Very user friendly,2/6/26
3,Navigation confusing,Login process is confusing AF. Took me 20 mins to get in,2/5/26
2,Bug in portfolio,Portfolio section shows wrong values. Fix this bug please,2/4/26
4,Great features,Great features but app crashes sometimes on iOS 18,2/3/26
1,Support ghosted,Support team ghosted me. No reply for a week,2/2/26
5,Love it,Love the interface and ease of use. Keep it up!,2/1/26
3,Account locked,My account got locked without reason. Need help urgently,1/31/26
2,Feature missing,Need option to track SIP investments better,1/30/26
4,Good experience,Good experience overall but slow customer support,1/29/26
1,Cannot withdraw,Cannot withdraw money for 5 days. This is unacceptable,1/28/26
5,Smooth transactions,Smooth transactions and good UI design,1/27/26
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
