rating,title,text,date
5,Good app,Love this app for investing. Easy to use and fast,2026-02-15
2,Login issues,Can't login anymore. Keep getting error message. Very frustrating,2026-02-14
4,Missing features,Good app but wish it had options trading. Please add this feature,2026-02-13
1,App crashes,App crashes every time I try to check my portfolio. Lost trust,2026-02-12
3,Slow loading,Takes forever to load. Need better performance,2026-02-11
5,Best investment app,Best investment app I've used! Highly recommend,2026-02-10
2,KYC stuck,KYC verification stuck for 3 days. Support not responding,2026-02-09
4,Good but confusing,App is useful but UI is confusing. Hard to navigate,2026-02-08
1,Money disappeared,My money disappeared from account. No response from support,2026-02-07
5,Excellent,Excellent app for beginners. Very user friendly,2026-02-06
3,Navigation confusing,Login process is confusing AF. Took me 20 mins to get in,2026-02-05
2,Bug in portfolio,Portfolio section shows wrong values. Fix this bug please,2026-02-04
4,Great features,Great features but app crashes sometimes on iOS 18,2026-02-03
1,Support ghosted,Support team ghosted me. No reply for a week,2026-02-02
5,Love it,Love the interface and ease of use. Keep it up!,2026-02-01
3,Account locked,My account got locked without reason. Need help urgently,2026-01-31
2,Feature missing,Need option to track SIP investments better,2026-01-30
4,Good experience,Good experience overall but slow customer support,2026-01-29
1,Cannot withdraw,Cannot withdraw money for 5 days. This is unacceptable,2026-01-28
5,Smooth transactions,Smooth transactions and good UI design,2026-01-27
2,App freezes,App freezes when I try to buy stocks. Very annoying,2026-01-26
3,Verification delay,Email verification taking too long. Speed it up,2026-01-25
4,Nice app,Nice app but needs better search functionality,2026-01-24
1,Worst experience,Worst experience. Money stuck and no support,2026-01-23
5,Highly recommended,Highly recommended for stock market beginners,2026-01-22
2,Login broken,Login is completely broken after last update,2026-01-21
4,Pretty good,Pretty good but could use more features like alerts,2026-01-20
3,Support needed,Need better customer support response times,2026-01-19
1,Scam alert,Feels like scam. Money not showing in account,2026-01-18
5,Perfect,Perfect for investing in mutual funds and stocks,2026-01-17
2,Crashes often,Crashes too often. Please fix stability issues,2026-01-16
4,User friendly,User friendly interface but slow loading times,2026-01-15
3,Mixed feelings,Mixed feelings. Good features but buggy performance,2026-01-14
1,Account blocked,Account blocked without explanation. Very unprofessional,2026-01-13
5,Great service,Great service and easy to understand for newbies,2026-01-12
2,Password reset fail,Password reset not working. Stuck outside account,2026-01-11
4,Solid app,Solid app but needs better help documentation,2026-01-10
3,Notification issues,Push notifications not working properly,2026-01-09
1,Lost all trust,Lost all trust after money transfer failed twice,2026-01-08
5,Fantastic,Fantastic app for tracking portfolio performance,2026-01-07
2,Search broken,Search functionality is broken. Can't find stocks,2026-01-06
4,Good UI,Good UI design but performance could be better,2026-01-05
3,Average experience,Average experience. Nothing special but works,2026-01-04
1,Fraud issues,Worried about fraud. Suspicious transactions shown,2026-01-03
5,Best ever,Best investment platform I've ever used,2026-01-02
2,OTP not working,OTP not coming for login. Major issue,2026-01-01
4,Recommend it,Would recommend but fix the occasional crashes,2026-12-31
3,Help needed,Need better help section. Can't find answers,2025-12-30
1,Support terrible,Support is terrible. No response for 2 weeks,2025-12-29
5,Amazing,Amazing features and smooth user experience,2025-12-28
2,Trade failed,Trade execution failed multiple times today,2025-12-27
4,Good enough,Good enough for basic investing needs,2025-12-26
3,UI update needed,UI needs update. Looks outdated now,2025-12-25
1,Money missing,Money missing from wallet. This is serious,2025-12-24
5,Excellent platform,Excellent platform for long term investing,2025-12-23
2,Glitchy,Too glitchy after recent update. Fix it ASAP,2025-12-22
4,Mostly good,Mostly good but customer service needs work,2025-12-21
3,Decent app,Decent app but competitors have better features,2025-12-20
1,Uninstalling,Uninstalling due to constant errors and crashes,2025-12-19
5,Top notch,Top notch app for mutual fund investments,2025-12-18
2,Bank link broken,Bank account linking not working properly,2025-12-17
4,Worth trying,Worth trying but has room for improvement,2025-12-16
3,So-so,So-so experience. Expected more features,2025-12-15
1,Disaster,Complete disaster after iOS update. Can't open,2025-12-14
5,Love the app,Love the app! Makes investing so simple,2025-12-13
2,Chart issues,Charts not loading. Technical problems persist,2025-12-12
4,Good start,Good starting point for new investors,2025-12-11
3,Needs polish,Needs more polish. Some rough edges visible,2025-12-10
1,Refund pending,Refund pending for over a month now. Scam,2025-12-09
5,Superb,Superb app with great educational content too,2025-12-08
2,Error messages,Constant error messages. Very frustrating experience,2025-12-07
4,Clean interface,Clean interface but needs faster execution,2025-12-06
3,Could be better,Could be better. Average at best,2025-12-05
1,Zero stars,Would give zero stars if possible. Horrible,2025-12-04
5,Brilliant,Brilliant for tracking all my investments in one place,2025-12-03
2,Signup issues,Can't complete signup. Form keeps erroring out,2025-12-02
4,Happy user,Happy user but wish there was web version too,2025-12-01
3,Works okay,Works okay most of the time. Not great not terrible,2025-11-30
1,Avoid this,Avoid this app. Too many problems and no support,2025-11-29
5,Outstanding,Outstanding app for tracking market trends,2025-11-28
2,Withdrawal stuck,Withdrawal request stuck for days. Need fix,2025-11-27
4,Satisfied,Satisfied with the service but support is slow,2025-11-26
3,Nothing special,Nothing special. Just another trading app,2025-11-25
1,Security concerns,Have serious security concerns about this app,2025-11-24
5,Five stars,Five stars for ease of use and reliability,2025-11-23
2,Update broke it,Latest update broke many features. Roll back please,2025-11-22
4,Quite good,Quite good for portfolio management,2025-11-21
3,Fair enough,Fair enough but lacks advanced trading tools,2025-11-20
1,Total waste,Total waste of time. Don't download,2025-11-19
